display_name,city,state,category,license_number,source_url,claimed
Rainforest Clinic for Birds and Exotics,Loxahatchee,FL,exotic veterinarian,VE-0003139,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
South Florida Exotic Veterinary Services LLC,Greenacres,FL,exotic veterinarian,VE-0006392,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Carevet LLC DBA Exotic Animal Hospital of Orlando,Clayton,MO,exotic veterinarian,VE-0007381,https://www2.myfloridalicense.com/sto/file_download/extracts/lic26vt.csv,false
Dragonfly Garden Wildlife Rescue,Amelia,OH,small mammal rescue,,https://dam.assets.ohio.gov/image/upload/ohiodnr.gov/documents/wildlife/permits/Ohio%20DOW%20Wildlife%20Rehabilitators.pdf,false
Wildthunder Wildlife and Animal Rehabilitation,Buchanan,IA,small mammal rescue,,https://www.iowadnr.gov/media/1619/download?inline=,false
Wapsi River Wildlife Project,Jones,IA,small mammal rescue,,https://www.iowadnr.gov/media/1619/download?inline=,false
Gypsy & Cricket Animal Rescue,Worth,IA,small mammal rescue,,https://www.iowadnr.gov/media/1619/download?inline=,false
Chattanooga Zoo,Chattanooga,TN,small mammal rescue,,https://www.tn.gov/twra/wildlife/find-a-rehabilitator.html,false
For Fox Sake Wildlife Rescue,Chattanooga,TN,small mammal rescue,,https://www.tn.gov/twra/wildlife/find-a-rehabilitator.html,false
Little Ponderosa Zoo,Clinton,TN,small mammal rescue,,https://www.tn.gov/twra/wildlife/find-a-rehabilitator.html,false
Walden's Puddle,Joelton,TN,small mammal rescue,,https://www.tn.gov/twra/wildlife/find-a-rehabilitator.html,false
Harmony Wildlife,Nashville,TN,small mammal rescue,,https://www.tn.gov/twra/wildlife/find-a-rehabilitator.html,false
Enchanted Forest Wildlife Rescue of Indiana,Aurora,IN,small mammal rescue,,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/,false
Nature's Nest,Commiskey,IN,small mammal rescue,,https://www.in.gov/dnr/fish-and-wildlife/wildlife-resources/orphaned-and-injured-animals/wildlife-rehabilitators/,false
